term_en,short_form,definition,notes,term_zh,term_ja
Impulse Style Item Filter; impulse sorter,,使用比较器持续读取容器信号强度的标准物品分类器设计,"2026-09-13 用户确认：常见语境译「经典物品分类器」；上下文提及作者时用原名「Impulse 分类器」。命名源自红石玩家 Impulse SV（人名，见 _uncategorized.csv）。原译「脉冲式物品分类器」弃用,经典物品分类器,
Dustless Filter,,不含红石粉的物品分类器，利用切换状态检测容器变化,[存储] 来源：视频 Solving Minecraft's Storage Problem（wG5Zqi1DD1I）00:03:33,无粉物品分类器,
Item-Shulker Splitter,,用于将物品实体和潜影盒实体分离到不同输出的装置,[存储] 来源：视频 Solving Minecraft's Storage Problem（wG5Zqi1DD1I）00:06:24,物品-潜影盒分离器,
Vertical Integration,,确保系统中每个环节处理速度一致以避免瓶颈的优化策略,[存储] 来源：视频 Solving Minecraft's Storage Problem（wG5Zqi1DD1I）00:06:14,垂直整合,
Container Threshold,,物品分类器中可变的容器填充度检测阈值，解决单片间信号溢出问题,[存储] 来源：视频 Solving Minecraft's Storage Problem（wG5Zqi1DD1I）00:03:48,可变容器阈值,
Main Storage,MS,存储科技术语：一个巨大的仓库，可分类并存储几乎所有可获得的已知物品,"[存储] 来源：techmc-glossary contraptions.csv + storage.csv（techmc-glossary，源分类 contraptions; storage 双分类）；2026-08-01 用户审计确认；本视频指 Wavetech 的全物品仓库；勿译""主存储""",全物品仓库（全物品分类仓库）,
box crafter,,潜影盒合成机：自动合成并染色的潜影盒装置（16 游戏刻一个，信号强度输入选择颜色）。,[推断：box=潜影盒（Mojang 官方用语 Shulker Box）+crafter=合成器] 来源：QSDpdXT9SPs 视频 c106；2026-08-13 用户确认,潜影盒合成机,
6x loader,,六倍打包机：6 个打包机并联的配置（ASR 误听 6X letters）,来源：uVOFckoMdIU 视频 00:18:28；2026-08-12 用户确认；2026-08-21 用户改译「六倍速打包机」（原「六倍打包机」）,六倍速打包机,
rocket crafters,,自动合成烟花火箭的合成器阵列。,[推断：rocket=烟花火箭（Mojang 官方用语 Firework Rocket）+crafter=合成器] 来源：QSDpdXT9SPs 视频 c152；2026-08-13 用户确认,烟花（火箭）合成器,
main player interface,,存储系统的主玩家交互界面（可拿取火药/TNT/各时长烟花火箭）。,[推断：main+player interface 构词，参照 user interface=用户界面] 来源：QSDpdXT9SPs 视频 c61；2026-08-13 用户确认；注意与 main storage=全物品仓库（_repos/techmc-glossary/ storage 类）区分,主玩家界面,
2x unloader,,以 2x 速率运作的拆包机/卸货机（TNT 供给语境）,[存储] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c646；派生 _repos/techmc-glossary/（storage 类）Unloader=拆包机/卸货机；2026-08-13 用户确认,双倍卸货机,
2x dropper,,以 2x 速率运作的投掷器（向玩家供 TNT）,[红石] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c652；2026-08-13 用户确认,双倍投掷器,
2X box loader,,2x 速率的 Box Loader 变体（minecarts 装载潜影盒处）,[存储] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c1306；派生 _repos/techmc-glossary/（storage 类）Box Loader=打包机（6x loader=六倍打包机先例）；2026-08-13 用户确认,双倍打包机,
sediment slice,,"存储系统中专门存放泥土、沙子等""沉积物""类物品的分区（slice）","[存储] 来源：视频 Solving Minecraft's Storage Problem（wG5Zqi1DD1I）00:08:57；2026-08-01 用户确认：社区把储存泥土/沙子类的存储类别叫""沉积物""",沉积物切片,
plumbing,,管线布局：决定物品在装置中的路由走向。,[推断：视频上下文] 来源：QSDpdXT9SPs 视频 c252；2026-08-13 用户确认,管线布局,
boxing,,将物品装入潜影盒（loader 语境）,来源：uVOFckoMdIU 视频 00:18:28；2026-08-14 用户确认,打包,
shulker box loader,,将物品装入潜影盒并破坏输出的打包机（box loader 全称）,[存储] 来源：uVOFckoMdIU 视频 00:45:59（ASR box letters→box loaders）；派生 _repos/techmc-glossary/（storage 类）Box Loader=打包机；2026-08-20 用户确认（全称 shulker box loader）,潜影盒打包机,
indefinite unloading,,一种卸货模式：不设数量上限，持续从存储卸出物品，直到手动停止。,[推断：视频上下文] 来源：QSDpdXT9SPs 视频 c227-c228；2026-08-13 用户确认（与 increments of five=按5辆一批 相对）,无限量卸载,
cyclical variable sorter,,一种通过自适应分类器循环处理装有混合物品的潜影盒，输出单类型盒且残余最少的装置。,来源：storage-archive,循环分盒器,
batch capacity,,漏斗一次可拾取/排空的物品量（受分类槽数量与占位物数量影响）,四级查找未命中；2026-09-13 用户裁决（原候选“拾取批次容量”不似中文表达）,单次拾取容量,
dropper elevator,,用投掷器链向上传输物品的装置,四级查找未命中；2026-09-13 用户确认,投掷器链（物品）上传,
silent dropper elevator,,只在有物品可向容器转移时才激活、因而无投掷音效的投掷器链（物品）上传装置,四级查找未命中；2026-09-13 用户确认,静音投掷器链上传,
smart dropper,,检测到内部有物品即激活、持续投掷直至清空的投掷器装置,四级查找未命中；视频自释,智能投掷器,
SS2 filter,,信号强度 2 的物品分类器（Impulse SV 推广，分类槽需 41 个物品才排空）,四级查找未命中；对照 knowledge/01_terminology/storage.csv Impulse Style Item Filter=经典物品分类器,SS2 分类器,
SS3 filter,,信号强度 3 的物品分类器（在 SS2 基础上多一颗红石粉）,四级查找未命中；视频自释,SS3 分类器,
