term_en,short_form,definition,notes,term_zh,term_ja
Louvain method;Louvain algorithm,,一种基于模块度（modularity）优化的贪心启发式社区发现算法，通过“局部移动节点最大化模块度 + 将社区聚合为新节点”两阶段反复迭代，在大规模网络中快速提取非重叠社区结构。2008 年由鲁汶大学（UCLouvain）的 Blondel 等人提出。,来源：Blondel et al. 2008 / 维基百科；2026-08-01 用户确认；亦译“鲁汶方法”；其改进版为 Leiden 算法,鲁汶聚类,
storage tech aid program,,"cubicmetre 自制的 scarpet 程序，用于存储技术辅助（最早出现在其""How to Build the Ultimate Storage""视频中）",[存储] 来源：视频 Solving Minecraft's Storage Problem（wG5Zqi1DD1I）00:01:04；2026-08-01 用户确认直译,存储技术辅助程序,
safe state,,1.12.2 技术术语：区块处于可安全保存/不受保存干扰的状态，用于支撑落沙、非法方块等操作。,来源：6sPS4yqC72I 视频 c216/c220/c969/c1236/c1313-1314；2026-08-04 用户确认,安全状态,
global flag,,视频内部 jargon：指被操控的全局标志（如 power、falling 等），用于控制区块/落沙行为。,来源：6sPS4yqC72I 视频 c1213；2026-08-04 用户确认,全局标志,
falling flag,,视频内部 jargon：落沙（重力方块下落）相关的标志位，通过装饰另一区块来关闭。,来源：6sPS4yqC72I 视频 c1234-1236；2026-08-04 用户确认,落沙标志,
spawn tower,,服务器出生点附近的塔形地标/设施。,来源：6sPS4yqC72I 视频 c1374-1376；2026-08-04 用户确认,出生点塔,
node,,末影龙寻路系统的基本单元：龙用于创建飞行路径的坐标点。视频原文定义：a coordinate that the dragon uses to create paths。,[推断：视频上下文定义] 来源：kxHpyV95rB0 视频 c17 附近；2026-08-05 用户确认,节点,
pathfind;pathfinding,,（末影龙）在寻路节点之间规划飞行路径的行为/机制。视频原文：how dragon path finds。,[推断：视频上下文定义] 来源：kxHpyV95rB0 视频 c13；2026-08-05 用户确认,寻路,
pulling piston,,拉动活塞：黏性活塞收回时拉动方块的角色。,[推断：视频上下文] 来源：22UL5d4G3mY 视频；2026-08-07 测试工作流阶段一 §1.3,拉动活塞,
backwards wire component,,视频内定义的组件：为反向延伸的两个触发输入提供延迟，使引擎能一次移动一格,[推断：视频上下文] 来源：22UL5d4G3mY 视频 c63 附近；2026-08-10 用户审核无意见确认,反向布线组件,
pull,,名词用法：活塞拉动次数（如 five pulls）,[推断：与 pulling piston 同族] 来源：22UL5d4G3mY 视频；2026-08-10 用户审核无意见确认,拉动,
omega long pulse extender,,输出时间很长的脉冲延长器（ASR 误听 an ilmango um）,来源：uVOFckoMdIU 视频 00:24:31；2026-08-12 用户确认,超长脉冲延长器,
geode perimeter,,围绕紫晶洞修建的空置域（用于紫晶农场）。,[推断：geode=紫晶洞+perimeter=空置域] 来源：QSDpdXT9SPs 视频 c232-c233；2026-08-13 用户确认,紫晶洞空置域,
chunk anchor,,被 chunk loader 3×3 加载的锚点区块（本视频用苔藓块标记）,[区块加载] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c1126；2026-08-13 用户确认,区块锚点,
strength of four,,满强度信号（8 游戏刻全速）,来源：uVOFckoMdIU 视频 00:23:18；2026-08-14 用户确认,信号强度 4,
630k farm,,本视频潜影贝农场专名（63 万/h 速率）,[潜影贝农场] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c1317；2026-08-13 用户确认,630k 农场,
gates,,控制雪傀儡出入的可开关门方块,来源：uVOFckoMdIU 视频 00:43:52；2026-08-14 用户确认,栅栏门,
16 cell version,,16 单元的简化版农场,来源：uVOFckoMdIU 视频 00:47:24；2026-08-14 用户确认,16 单元版,
placement chute,,红石电路中放置潜影盒的滑道部件（ASR 误听 replacement shoes/shoe）,来源：uVOFckoMdIU 视频 00:31:54；2026-08-12 用户确认,放置滑道,
receptacle,,矿车接驳位：接收矿车的接口位（可将矿车送入/取回）。,[推断：视频上下文] 来源：QSDpdXT9SPs 视频 c44；2026-08-13 用户确认（候选：接收位）,矿车接驳位,
item conveyor,,由活塞推动运送物品的传送带（本视频指潜影弹合并处）,来源：uVOFckoMdIU 视频 00:18:27；2026-08-14 用户确认,物品传送带,
replacement module,,补货替换模块（restock 替换用）,来源：uVOFckoMdIU 视频 00:31:37；2026-08-14 用户确认,替换模块,
restock station,,,来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 00:31:06；2026-08-13 用户确认,补货站,
kernel-fitting algorithm,,核拟合算法：本视频合成系统用 3×3 配方矩阵做核匹配到合成格上的算法。,[推断：视频自述] 来源：p-k5MPhBSjk 视频 00:13:41；2026-08-25 用户确认,核拟合算法,
combat update,,战斗更新：Java 版 1.9 官方命名更新（本视频提及旧版伤害减免公式）。,来源：zh wiki「战斗更新」页；2026-08-25 用户确认,战斗更新,
block change,,方块变更：玩家挖/放方块产生的变更记录（本视频 6 字节数据结构）。,[推断：视频自述] 来源：p-k5MPhBSjk 视频 00:10:13；2026-08-25 用户确认,方块变更,
pattern table,,模式表：由世界种子算出的重复表，决定各生物群系岛屿的类型。,[推断：视频自述] 来源：p-k5MPhBSjk 视频 00:08:20；2026-08-25 用户确认,模式表,
Waxed Lightly Weathered Cut Copper Stairs,,涂蜡的斑驳切制铜楼梯（梗：视频以此超长物品名调侃方块种类数）。,来源：zh wiki 切制铜楼梯页 21w05a 历史（旧译「涂蜡的轻度锈蚀切制铜楼梯」）；2026-08-25 用户确认,涂蜡的斑驳切制铜楼梯,
bareiron,,bareiron：本视频作者自写的 Minecraft 服务器项目名（保留原文）。,来源：视频自述项目名；p-k5MPhBSjk 视频 00:00:57；2026-08-25 用户确认,bareiron,
footprint,,装置占用的方块范围（习题常限定占地尺寸）,四级查找未命中；2026-09-13 用户确认,占地尺寸,
torch stub,,中继器/比较器顶部呈红石火把状的凸起，与凹槽共同用于辨别输入输出方向,来源：wiki 中继器页；[推断] 用户确认；视频 LyU6a4PuDjo,火把凸起,
track,,中继器/比较器顶面的红线状纹路，与火把凸起共同用于辨别朝向,来源：wiki 中继器页；[推断] 用户确认；视频 LyU6a4PuDjo,凹槽,
locking,,给中继器侧输入供电，使其输出状态被锁存（解锁需移除侧输入）,来源：wiki 中继器页；[推断] 用户确认；视频 LyU6a4PuDjo,锁定,
side input,,中继器/比较器两侧的输入端（中继器仅接收中继器/比较器，比较器还可接红石粉、红石块）,来源：wiki 比较器页；[推断] 用户确认；视频 LyU6a4PuDjo,侧输入端,
main input,,比较器背面的主信号输入端，与侧输入端相对,来源：wiki 比较器页；[推断] 用户确认；视频 LyU6a4PuDjo,主输入端,
power level,,红石信号 0-15 的强度值；与 signal strength 同义，统一译「信号强度」,用户裁定（2026-09-17）：覆盖社区常用「能量等级」；视频 LyU6a4PuDjo,信号强度,
container fill level,,比较器读取容器时反映的容器装满程度,来源：knowledge/01_terminology/storage.csv 既用语；视频 LyU6a4PuDjo,容器填充度,
fadeout clock,,比较器回路构成的脉冲延长电路，信号每绕一圈衰减一级直至熄灭,来源：视频上下文 [推断] 用户确认；别名 decay clock；视频 LyU6a4PuDjo,消退时钟,
decay clock,,同 fadeout clock：比较器回路构成的脉冲延长电路,来源：indexes/repos/tree-hole.md；[推断] 用户确认；视频 LyU6a4PuDjo,衰减时钟,
fader,,comparator fader：递减式脉冲延长器的简称,用户裁定（2026-09-17）：用「衰减」而非「消退」；视频 LyU6a4PuDjo,衰减器,
memory cell,,以信号强度存值的存储单元（如十六进制存储单元）,来源：knowledge/01_terminology/engineering.csv（cell→单元）+ 查证；[推断] 用户确认；视频 LyU6a4PuDjo,存储单元,
subtract mode,,比较器模式之一：用主输入减去侧输入（取最大值的一侧）,来源：wiki 比较器页；用户裁定（2026-09-17）；视频 LyU6a4PuDjo,减法模式,
compare mode,,比较器默认模式：主输入 ≥ 两侧输入时输出主输入信号,来源：wiki 比较器页；[推断] 用户确认；视频 LyU6a4PuDjo,比较模式,
container measurement,,比较器读取容器各槽位填充度并转为信号强度的机制,来源：wiki 装载量节；[推断] 用户确认；视频 LyU6a4PuDjo,容器填充度检测,
item container,,可存放物品的容器方块（箱子、桶、潜影盒等）,来源：视频上下文 [推断] 用户确认；视频 LyU6a4PuDjo,物品容器,
full container detection,,利用满信号（15 级）覆盖容器读取的特性检测容器是否装满,来源：视频上下文 [推断] 用户确认；视频 LyU6a4PuDjo,满容器检测,
instant comparator line,,利用比较器即时响应特性的比较器线路（即时红石技术）,来源：indexes/repos/gtmc-articles.md；用户裁定（2026-09-17，用「瞬时」）；视频 LyU6a4PuDjo,瞬时比较器线路,
button hold,,练习名：连续按按钮若干次触发输出的电路（PRR 第 2 集练习 1）,来源：视频自造练习名；[推断] 用户确认；视频 LyU6a4PuDjo,按钮保持,
loop lock,,练习名：可用拉杆把脉冲停在当前灯上的慢时钟（练习 2）,来源：视频自造练习名；[推断] 用户确认；视频 LyU6a4PuDjo,循环锁定,
lamp countdown,,练习名：按按钮后灯柱由全亮逐级熄灭（练习 3）,来源：视频自造练习名；[推断] 用户确认；视频 LyU6a4PuDjo,灯柱倒计时,
tryhards,,口语词：愿意挑战额外难度的玩家,来源：视频上下文；[推断] 用户确认；视频 LyU6a4PuDjo,硬核玩家,
slot,,容器/物品栏中存放单个物品的格子；容器语境用「格」,来源：zh wiki 槽位页通用作「槽位」；用户裁定（2026-09-17）容器语境用「格」；装备语境另有 armor slot→盔甲槽；视频 LyU6a4PuDjo,格,
