term_en,short_form,definition,notes,term_zh,term_ja
not gate,,数字电路中输出与输入相反的逻辑门。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,非门,
OR gate,,数字电路中任一输入为真则输出为真的逻辑门。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,或门,
XOR gate;XOR,,数字电路中输入不同则输出为真的逻辑门（异或）。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,异或门,
XNOR gate,,数字电路中输入相同则输出为真的逻辑门（同或/异或非）。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,同或门（异或非门）,
NAND,,数字电路中与非门：输出与与门相反。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,与非门,
NOR,,数字电路中或非门：输出与或门相反。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,或非门,
AND,,数字电路中与门：所有输入为真时输出才为真。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,与门,
D latch;D data latch,,数字电路中的电平触发锁存器（D 锁存器），数据输入端 D 的当前值在使能时被锁存。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,D锁存器,
latch,,数字电路中用于保持（存储）一位状态的电路，可被置位与复位。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,锁存器,
half adder,,数字电路中只计算本位和、不接收低位进位的加法器。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,半加器,
adder,,数字电路中执行加法运算的组合逻辑电路。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,加法器,
carry,,数字电路加法运算中产生的进位信号。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,进位,
counter,,数字电路中按一定规律计数的时序电路。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,计数器,
bit,,二进制位：信息的最小单位。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,位,
LSB;least significant bit,,二进制数中权重最低的位（LSB）。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,最低有效位（LSB）,
MSB;most significant bit,,二进制数中权重最高的位（MSB）。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,最高有效位（MSB）,
binary number,,以 2 为基数的数字表示。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,二进制数,
powers of two,,2 的幂：二进制中各数位的权重。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,2 的幂,
transistor,,电子电路中的半导体开关器件；视频用于比喻活板门即时翻转结构的开关特性。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,晶体管,
clocking circuit,,产生周期性时钟信号以驱动时序电路的电路。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,时钟电路,
single-threaded,,单线程：更新/逻辑按单一顺序逐一处理，无并行。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,单线程,
CPU,,中央处理器：计算机执行指令的核心部件。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,CPU/中央处理器,
data transfer,,数据在系统各部分之间的传输。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,数据传输,
synchronized,,同步：多个信号按统一时钟节拍对齐。,[数电常识] 来源：xyw455piBUE 视频；2026-08-06 用户确认,同步,
hex-to-binary transmission,,十六进制转二进制的信号传输方案（用于减少控制布线）。,[推断：视频上下文] 来源：QSDpdXT9SPs 视频 c246（字幕原文 translation，简介 transmission）；2026-08-13 用户确认 transmission,十六进制转二进制传输,
redstone coder,,红石编码器：将按钮/输入编码为红石信号组合的装置（ASR 原文 red coder）,来源：uVOFckoMdIU 视频 00:21:58；2026-08-12 用户确认,红石编码器,
on-off panel,,合成器开关面板：可单独或组合开启各类型合成器。,[推断：on-off+panel=面板（.cache/glossary/storage.csv）] 来源：QSDpdXT9SPs 视频 c123；2026-08-13 用户确认,开关面板,
