term_en,short_form,definition,notes,term_zh,term_ja
World Tick Update,WTU,游戏刻阶段之一，世界时间计数器+1，标志新游戏刻开始,[通用] 来源：gtmc-articles MicroTiming,世界时间更新,
Async Task; Network Update,AT;NU,游戏刻阶段之一，处理玩家放置/破坏方块、触发压力板等异步事件,[通用] 来源：gtmc-articles MicroTiming,异步事件,
Random Tick,,区块刻阶段中随机选中区块内方块执行生长、蔓延等随机事件的机制,[通用] 来源：gtmc-articles MicroTiming,随机刻,
yaw,,实体的水平旋转角度，取值范围(-180~180]，正南为0，顺时针为正,[通用] 来源：Discovering-Minecraft 实体运动,偏航角,
pitch,,实体的垂直旋转角度，取值范围[-90~90]，水平为0，向上为负,[通用] 来源：Discovering-Minecraft 实体运动,俯仰角,
Fluid Acceleration,,实体在与流体接触时受到的加速作用（区别于空气阻力），与流体种类和浸入深度有关。Discovering-Minecraft 运动符号体系中简称为 F，与 G/D/C/Dc/Pu 配套,[通用] 来源：Discovering-Minecraft 实体运动,流体加速,
Item Components,,Minecraft 1.20.5+中取代NBT的物品数据系统，定义物品的属性、行为等,[通用] 来源：cubicmetre视频,物品组件,
Tick Warping,,利用技术手段加速游戏刻执行速度以进行快速测试,[通用] 来源：cubicmetre视频,游戏刻加速,
server-sided hitbox,,服务端维护的实体碰撞箱，与客户端（client）相对。,[通用] 来源：TechMCDocs 文章 GameMechanics/WorldBorder（FX）；2026-08-01 用户确认直译；世界边界场景机制细节见 knowledge/02_mechanic/server-sided-hitbox.md,服务端碰撞箱,
tick rate,,游戏刻速率：每秒执行的游戏刻数量（默认 20 TPS）。,[推断：视频语境] 来源：xyw455piBUE 视频；2026-08-06 用户确认,游戏刻速率,
lazy chunks,,弱加载区块：处于方块计算加载等级的区块，实体不参与每游戏刻计算（实体被追踪但不运算）。,[推断：lazy=弱加载（.cache/glossary/general.csv）+chunk] 来源：QSDpdXT9SPs 视频 c28；Minecraft Wiki 区块页「弱加载区块（Lazy Processing Chunk）」证实；2026-08-13 用户确认,弱加载区块,
entity portal collision checking,,实体传送门碰撞检测：1.19.3 起对每个实体进行传送门碰撞检测导致性能退化,[机制] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c1315；2026-08-13 用户确认,实体传送门碰撞检测,
aggro,,游戏机制通用词：吸引仇恨,来源：uVOFckoMdIU 视频 00:02:59；2026-08-12 用户确认,仇恨,
blast range,,TNT 爆炸范围（ASR 误听 range of the shulker）,来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 00:18:25；2026-08-13 用户确认,爆炸范围,
explosion-proof block,,防爆的方块,来源：uVOFckoMdIU 视频 00:19:32；2026-08-14 用户确认,防爆方块,
