term_en,short_form,definition,notes,term_zh,term_ja
supercharger,,潜影贝农场的加速组件（脚手架式潜影贝农场的雪傀儡激怒源）,来源：uVOFckoMdIU 视频 00:01:40；2026-08-12 用户确认,加速装置,
social aggro,,潜影贝复制机制中「附近其他潜影贝的仇恨信号」,来源：uVOFckoMdIU 视频 00:02:59；2026-08-12 用户确认,群体仇恨,
aggro engine,,以雪傀儡等持续激怒潜影贝的装置,来源：uVOFckoMdIU 视频 00:07:05；2026-08-12 用户确认,仇恨引擎,
trash mob,,不参与复制的边缘潜影贝（ASR 误听 trash Muppets/trash weapons）,来源：uVOFckoMdIU 视频 00:09:29；2026-08-12 用户确认,垃圾怪/残次潜影贝,
duplication mechanic,,潜影贝被潜影弹击中时概率生成新个体的机制,来源：uVOFckoMdIU 视频 00:02:03；Minecraft Wiki 机制确认；2026-08-12 用户确认,复制机制,
transition time,,潜影贝开壳→发射→复制的周期,来源：uVOFckoMdIU 视频 00:06:49；2026-08-12 用户确认,转换时间,
reactor farm,,利用仇恨链/多潜影贝聚集的农场类型,来源：uVOFckoMdIU 视频 00:03:41；2026-08-12 用户确认,反应堆式（的）农场,
portal-based farm,,利用潜影贝传送机制的农场类型,来源：uVOFckoMdIU 视频 00:08:33；2026-08-12 用户确认,传送门式农场,
scaffolding-based farm,,利用脚手架移动潜影贝的农场类型（ASR 误听 scaffolding by）,来源：uVOFckoMdIU 视频 00:04:14；2026-08-12 用户确认,脚手架式农场,
teleportation pad,,潜影弹飞向的传送引导装置（视频内装置专名）,[潜影贝农场] 来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 c250；Wiki 无此术语；2026-08-13 用户确认,传送平台,
peeking,,潜影贝周期性开壳的行为（ASR 误听 peaking）,来源：uVOFckoMdIU 视频 00:02:10；2026-08-14 用户确认,探出（潜影贝开壳行为）,
shulker processing,,主世界侧处理潜影贝的外围环节（击杀/收集）,来源：uVOFckoMdIU 视频 00:05:37；2026-08-14 用户确认,潜影贝处理,
bullet pathfinding,,潜影弹追踪/寻路机制,来源：uVOFckoMdIU 视频 00:12:37；2026-08-14 用户确认,潜影弹寻路,
teleportation spot,,潜影贝复制的有效传送位置（空气方块+完整面方块）,来源：uVOFckoMdIU 视频 00:02:32；2026-08-14 用户确认,传送点,
shulker curator,,潜影贝生成/管理器（用户确认原文如此，不译）,来源：uVOFckoMdIU 视频 00:37:00；2026-08-14 用户确认保留原文 → 2026-08-20 用户改为意译「潜影贝培育器」,潜影贝培育器,
black box,,视频中指仇恨引擎看起来像个黑色盒子,来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 00:06:30；2026-08-13 用户确认,黑箱,
hallway;hall,,潜影弹飞行通道（cell 内延伸的弹道通道）,来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 00:09:49；2026-08-13 用户确认,通道,
sideways,,潜影贝在 cell 中侧向放置的机制,来源：uVOFckoMdIU_Engineering Minecraft's Fastest Shulker Farm 视频 00:09:04；2026-08-13 用户确认,侧向（放置）,
shulker reactor,,Etho 首创的潜影贝农场范式：不设单一繁殖单元，靠大量潜影贝在腔体内互射自复制、自行填满复制核心以维持反应,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:02:23；2026-09-21 用户确认；zh wiki 无此条目,潜影贝反应堆,
breeding cell,,潜影贝农场中供潜影贝复制、并把复制体限制在内的空间单元,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:01:24；2026-09-21 用户确认（中文社区常用说法，与字面不完全对应）,复制核心,
space efficiency,,潜影贝农场的评价量：潜影贝实际占据的传送点占洞穴总体积的比例,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:04:46；2026-09-21 用户确认,空间利用率,
teleportation success rate,,潜影贝复制时成功传送到有效位置的概率,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:04:50；2026-09-21 用户确认；zh wiki〈潜影贝〉页机制段,传送成功率,
initial duplication rate,,视频数学量 r₀：单只潜影贝一生平均复制次数在无抑制时的值（= 6 × 传送成功率）,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:05:06；2026-09-21 用户确认,初始复制率,
per-shulker hit rate,,视频数学量：单位时间内单只潜影贝被潜影弹命中的次数,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:06:52；2026-09-21 用户确认,每潜影贝命中率,
teleport radius,,潜影贝复制时选取传送目标的水平/垂直范围,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:02:04；2026-09-21 用户确认；同 shulker_farm.csv `teleportation spot`=传送点,传送半径,
one dimensional shulker farm,,只在一个维度（主世界）内完成潜影贝复制与击杀的农场形式,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:00:17；2026-09-21 用户确认；与 contraptions.csv `two-dimensional shulker farm`=双维度潜影贝农场 对称,单维度潜影贝农场,
single-cell farm; single cell farm,,只有单个复制核心、需人工替换其中潜影贝的潜影贝农场形式（与反应堆式相对）,来源：Shulker reactors - a new shulker farm paradigm!（mv3OAZGKfs4） 00:04:29；2026-09-21 用户裁定（中文社区惯用）；注意与 engineering.csv 的 `single cell`=单个单元 区分：后者泛指单元，本词条指该农场形式,单核农场,
